"object1","subject1","subject2"
"http://en.wikipedia.org/wiki/Abyssinian_hare","http://dbpedia.org/resource/Abyssinian_hare","http://www.wikidata.org/entity/Q336528"
"http://en.wikipedia.org/wiki/African_savanna_hare","http://dbpedia.org/resource/African_savanna_hare","http://www.wikidata.org/entity/Q1581201"
"http://en.wikipedia.org/wiki/Alaskan_hare","http://dbpedia.org/resource/Alaskan_hare","http://www.wikidata.org/entity/Q856653"
"http://en.wikipedia.org/wiki/Amami_rabbit","http://dbpedia.org/resource/Amami_rabbit","http://www.wikidata.org/entity/Q687102"
"http://en.wikipedia.org/wiki/Annamite_striped_rabbit","http://dbpedia.org/resource/Annamite_striped_rabbit","http://www.wikidata.org/entity/Q564479"
"http://en.wikipedia.org/wiki/Antelope_jackrabbit","http://dbpedia.org/resource/Antelope_jackrabbit","http://www.wikidata.org/entity/Q577630"
"http://en.wikipedia.org/wiki/Appalachian_cottontail","http://dbpedia.org/resource/Appalachian_cottontail","http://www.wikidata.org/entity/Q139716"
"http://en.wikipedia.org/wiki/Aztlanolagus","http://dbpedia.org/resource/Aztlanolagus","http://www.wikidata.org/entity/Q4832996"
"http://en.wikipedia.org/wiki/Black_jackrabbit","http://dbpedia.org/resource/Black_jackrabbit","http://www.wikidata.org/entity/Q167882"
"http://en.wikipedia.org/wiki/Black-tailed_jackrabbit","http://dbpedia.org/resource/Black-tailed_jackrabbit","http://www.wikidata.org/entity/Q640645"
"http://en.wikipedia.org/wiki/Broom_hare","http://dbpedia.org/resource/Broom_hare","http://www.wikidata.org/entity/Q430175"
"http://en.wikipedia.org/wiki/Brush_rabbit","http://dbpedia.org/resource/Brush_rabbit","http://www.wikidata.org/entity/Q1508885"
"http://en.wikipedia.org/wiki/Bunyoro_rabbit","http://dbpedia.org/resource/Bunyoro_rabbit","http://www.wikidata.org/entity/Q638186"
"http://en.wikipedia.org/wiki/Burmese_hare","http://dbpedia.org/resource/Burmese_hare","http://www.wikidata.org/entity/Q852187"
"http://en.wikipedia.org/wiki/Cape_hare","http://dbpedia.org/resource/Cape_hare","http://www.wikidata.org/entity/Q748185"
"http://en.wikipedia.org/wiki/Chinese_hare","http://dbpedia.org/resource/Chinese_hare","http://www.wikidata.org/entity/Q1074206"
"http://en.wikipedia.org/wiki/Corsican_hare","http://dbpedia.org/resource/Corsican_hare","http://www.wikidata.org/entity/Q932156"
"http://en.wikipedia.org/wiki/Cottontail_rabbit","http://dbpedia.org/resource/Cottontail_rabbit","http://www.wikidata.org/entity/Q748448"
"http://en.wikipedia.org/wiki/Desert_cottontail","http://dbpedia.org/resource/Desert_cottontail","http://www.wikidata.org/entity/Q608572"
"http://en.wikipedia.org/wiki/Desert_hare","http://dbpedia.org/resource/Desert_hare","http://www.wikidata.org/entity/Q311584"
"http://en.wikipedia.org/wiki/Dice's_cottontail","http://dbpedia.org/resource/Dice's_cottontail","http://www.wikidata.org/entity/Q1209386"
"http://en.wikipedia.org/wiki/Eastern_cottontail","http://dbpedia.org/resource/Eastern_cottontail","http://www.wikidata.org/entity/Q774716"
"http://en.wikipedia.org/wiki/Ethiopian_hare","http://dbpedia.org/resource/Ethiopian_hare","http://www.wikidata.org/entity/Q257743"
"http://en.wikipedia.org/wiki/Ethiopian_highland_hare","http://dbpedia.org/resource/Ethiopian_highland_hare","http://www.wikidata.org/entity/Q257754"
"http://en.wikipedia.org/wiki/European_hare","http://dbpedia.org/resource/European_hare","http://www.wikidata.org/entity/Q26838"
"http://en.wikipedia.org/wiki/European_rabbit","http://dbpedia.org/resource/European_rabbit","http://www.wikidata.org/entity/Q25851"
"http://en.wikipedia.org/wiki/Granada_hare","http://dbpedia.org/resource/Granada_hare","http://www.wikidata.org/entity/Q513373"
"http://en.wikipedia.org/wiki/Hainan_hare","http://dbpedia.org/resource/Hainan_hare","http://www.wikidata.org/entity/Q1355743"
"http://en.wikipedia.org/wiki/Hare","http://dbpedia.org/resource/Hare","http://www.wikidata.org/entity/Q46076"
"http://en.wikipedia.org/wiki/Hispid_hare","http://dbpedia.org/resource/Hispid_hare","http://www.wikidata.org/entity/Q301068"
"http://en.wikipedia.org/wiki/Hypolagus","http://dbpedia.org/resource/Hypolagus","http://www.wikidata.org/entity/Q630290"
"http://en.wikipedia.org/wiki/Indian_hare","http://dbpedia.org/resource/Indian_hare","http://www.wikidata.org/entity/Q1467662"
"http://en.wikipedia.org/wiki/Jameson's_red_rock_hare","http://dbpedia.org/resource/Jameson's_red_rock_hare","http://www.wikidata.org/entity/Q543227"
"http://en.wikipedia.org/wiki/Japanese_hare","http://dbpedia.org/resource/Japanese_hare","http://www.wikidata.org/entity/Q1355766"
"http://en.wikipedia.org/wiki/Korean_hare","http://dbpedia.org/resource/Korean_hare","http://www.wikidata.org/entity/Q1154116"
"http://en.wikipedia.org/wiki/Majorcan_hare","http://dbpedia.org/resource/Majorcan_hare","http://www.wikidata.org/entity/Q2165829"
"http://en.wikipedia.org/wiki/Manchurian_hare","http://dbpedia.org/resource/Manchurian_hare","http://www.wikidata.org/entity/Q1467702"
"http://en.wikipedia.org/wiki/Manzano_mountain_cottontail","http://dbpedia.org/resource/Manzano_mountain_cottontail","http://www.wikidata.org/entity/Q139772"
"http://en.wikipedia.org/wiki/Marsh_rabbit","http://dbpedia.org/resource/Marsh_rabbit","http://www.wikidata.org/entity/Q138169"
"http://en.wikipedia.org/wiki/Mexican_cottontail","http://dbpedia.org/resource/Mexican_cottontail","http://www.wikidata.org/entity/Q1575984"
"http://en.wikipedia.org/wiki/Mountain_cottontail","http://dbpedia.org/resource/Mountain_cottontail","http://www.wikidata.org/entity/Q129773"
"http://en.wikipedia.org/wiki/Mountain_hare","http://dbpedia.org/resource/Mountain_hare","http://www.wikidata.org/entity/Q180035"
"http://en.wikipedia.org/wiki/Natal_red_rock_hare","http://dbpedia.org/resource/Natal_red_rock_hare","http://www.wikidata.org/entity/Q1050155"
"http://en.wikipedia.org/wiki/Nesolagus","http://dbpedia.org/resource/Nesolagus","http://www.wikidata.org/entity/Q913660"
"http://en.wikipedia.org/wiki/New_England_cottontail","http://dbpedia.org/resource/New_England_cottontail","http://www.wikidata.org/entity/Q404566"
"http://en.wikipedia.org/wiki/Nuralagus","http://dbpedia.org/resource/Nuralagus","http://www.wikidata.org/entity/Q134112"
"http://en.wikipedia.org/wiki/Omilteme_cottontail","http://dbpedia.org/resource/Omilteme_cottontail","http://www.wikidata.org/entity/Q1632396"
"http://en.wikipedia.org/wiki/Palaeolagus","http://dbpedia.org/resource/Palaeolagus","http://www.wikidata.org/entity/Q2609484"
"http://en.wikipedia.org/wiki/Red_rock_hare","http://dbpedia.org/resource/Red_rock_hare","http://www.wikidata.org/entity/Q685653"
"http://en.wikipedia.org/wiki/Riverine_rabbit","http://dbpedia.org/resource/Riverine_rabbit","http://www.wikidata.org/entity/Q300964"
"http://en.wikipedia.org/wiki/Robust_cottontail","http://dbpedia.org/resource/Robust_cottontail","http://www.wikidata.org/entity/Q194815"
"http://en.wikipedia.org/wiki/San_Jose_brush_rabbit","http://dbpedia.org/resource/San_Jose_brush_rabbit","http://www.wikidata.org/entity/Q1769245"
"http://en.wikipedia.org/wiki/Scrub_hare","http://dbpedia.org/resource/Scrub_hare","http://www.wikidata.org/entity/Q1017365"
"http://en.wikipedia.org/wiki/Smith_Island_cottontail","http://dbpedia.org/resource/Smith_Island_cottontail","http://www.wikidata.org/entity/Q7545193"
"http://en.wikipedia.org/wiki/Smith's_red_rock_hare","http://dbpedia.org/resource/Smith's_red_rock_hare","http://www.wikidata.org/entity/Q536459"
"http://en.wikipedia.org/wiki/Snowshoe_hare","http://dbpedia.org/resource/Snowshoe_hare","http://www.wikidata.org/entity/Q81063"
"http://en.wikipedia.org/wiki/Sumatran_striped_rabbit","http://dbpedia.org/resource/Sumatran_striped_rabbit","http://www.wikidata.org/entity/Q18785"
"http://en.wikipedia.org/wiki/Swamp_rabbit","http://dbpedia.org/resource/Swamp_rabbit","http://www.wikidata.org/entity/Q583901"
"http://en.wikipedia.org/wiki/Sylvilagus_palustris_hefneri","http://dbpedia.org/resource/Sylvilagus_palustris_hefneri","http://www.wikidata.org/entity/Q5491270"
"http://en.wikipedia.org/wiki/Tapeti","http://dbpedia.org/resource/Tapeti","http://www.wikidata.org/entity/Q856610"
"http://en.wikipedia.org/wiki/Tehuantepec_jackrabbit","http://dbpedia.org/resource/Tehuantepec_jackrabbit","http://www.wikidata.org/entity/Q664472"
"http://en.wikipedia.org/wiki/Tolai_hare","http://dbpedia.org/resource/Tolai_hare","http://www.wikidata.org/entity/Q1355755"
"http://en.wikipedia.org/wiki/Tres_Marias_rabbit","http://dbpedia.org/resource/Tres_Marias_rabbit","http://www.wikidata.org/entity/Q1762341"
"http://en.wikipedia.org/wiki/Venezuelan_lowland_rabbit","http://dbpedia.org/resource/Venezuelan_lowland_rabbit","http://www.wikidata.org/entity/Q219531"
"http://en.wikipedia.org/wiki/Volcano_rabbit","http://dbpedia.org/resource/Volcano_rabbit","http://www.wikidata.org/entity/Q668030"
"http://en.wikipedia.org/wiki/White-sided_jackrabbit","http://dbpedia.org/resource/White-sided_jackrabbit","http://www.wikidata.org/entity/Q1467672"
"http://en.wikipedia.org/wiki/White-tailed_jackrabbit","http://dbpedia.org/resource/White-tailed_jackrabbit","http://www.wikidata.org/entity/Q932186"
"http://en.wikipedia.org/wiki/Woolly_hare","http://dbpedia.org/resource/Woolly_hare","http://www.wikidata.org/entity/Q578083"
"http://en.wikipedia.org/wiki/Yarkand_hare","http://dbpedia.org/resource/Yarkand_hare","http://www.wikidata.org/entity/Q510359"
"http://en.wikipedia.org/wiki/Yunnan_hare","http://dbpedia.org/resource/Yunnan_hare","http://www.wikidata.org/entity/Q1291427"
